queries 
01/19/26 10:36:05 AM 
 last 1 week 
 10080 
Database: : C2L_DMS 
Number of queries: 100 
,Query Id,Query,Elapsed Time,Number of Sessions,Number of Executions,Average Response Time,Weight (%)
313821,0300FF7F2B9048D986C0840142B1000001000000000000000000000000000000000000000000000000000000,sp_cdc_scan,167h 28m 30s,1,313821,0h 0m 1.92s,58
16,030006003039215CF0DAEB0015B1000001000000000000000000000000000000000000000000000000000000,USP_GENERATE_DMS_POLPREMTRANS,20h 53m 27s,7,16,1h 18m 20.44s,7
64441,020000001FB35C36791169DD60088183DB0FC35A2576676B0000000000000000000000000000000000000000,"(@P0 bigint)select listagentt0_.AGENTSEQ as AGENTSEQ1_, listagentt0_.AGENTTRAININGCOMPILATIONSEQ as AGENTTRA1_1_, listagentt0_.AGENTTRAININGCOMPILATIONSEQ as AGENTTRA1_18_0_, listagentt0_.versionid as versionid18_0_, listagentt0_.guid as guid18_0_, listagentt0_.TRAININGSTARTDT as TRAINING4_18_0_, listagentt0_.TRAININGENDDT as TRAINING5_18_0_, listagentt0_.TRAININGCERTNUM as TRAINING6_18_0_, listagentt0_.TRAININGMODE as TRAINING7_18_0_, listagentt0_.ATILOCATION as ATILOCAT8_18_0_, listagentt0_.TRAININGINSTITUTE as TRAINING9_18_0_, listagentt0_.ACCREDITATIONNUMBER as ACCREDI10_18_0_, listagentt0_.EXAMBODY as EXAMBODY18_0_, listagentt0_.EXAMCENTER as EXAMCENTER18_0_, listagentt0_.EXAMLANGUAGE as EXAMLAN13_18_0_, listagentt0_.TRAININGTYPE as TRAININ14_18_0_, listagentt0_.TRAININGCODE as TRAININ15_18_0_, listagentt0_.TRAININGSTATUS as TRAININ16_18_0_, listagentt0_.TRAININGCANDIDATENUMBER as TRAININ17_18_0_, listagentt0_.TRAININGHOURSCOMPLETED as TRAININ18_18_0_, listagentt0_.ROOMNO as ROOMNO18_0_, listagentt0_.BATCHNO as BATCHNO18_0_, listagentt0_.INSURERREMARK as INSURER21_18_0_, listagentt0_.AGENTSEQ as AGENTSEQ18_0_ from AGENTTRAININGCOMPILATION_V listagentt0_ where listagentt0_.AGENTSEQ= @P0 ",17h 11m 16s,60,64441,0h 0m 0.96s,6
162,02000000301B980502613A196B60BE99BED8AF92A173A0590000000000000000000000000000000000000000,"select ? RECORDTYPE, hm.BASEAGENTID, count(hm.HIERARCHYSEQ)
from HIERARCHY_M hm
where hm.EFFECTIVETODT is null
group by hm.BASEAGENTID
having count(hm.HIERARCHYSEQ) &gt;?
union
select ? RECORDTYPE, history.AGENTID, count(history.AGENTHISTORYSEQ)
from AGENTHISTORY history
where history.EFFECTIVETODT is null
group by history.AGENTID
having count(history.AGENTHISTORYSEQ) &gt;?
union
select ?, AGENTCD, count(*)
FROM POLICYHIERARCHY
where EFFECTIVETODT is null
group by HIERARCHYTYPECD, HIERARCHYSUBTYPECD, HIERARCHYSUBSUBTYPECD, PREMIUMSUBTYPECD, AGENTCD, SUBTRANCHENO
having count(POLICYPRODUCTHIERARCHYSEQ) &gt;?",11h 3m 5s,33,162,0h 4m 5.59s,4
307,020000006B0CDB04D632AEAD61D8B7DA5D24E932DF4140F10000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)SELECT SERVICEQUESTRESPSEQ,QUESTIONSETCD,QUESTIONDATAELEMENTCD,DOCUMENTCD,QUESTIONNAIRETYPECD,ENTITYGUID,PARTYGUID,ROWGUID,RESPONSEVALUE,SCORE,WEIGHT,VERSIONID,GUID,SYSTEMCREATEDDT,SYSTEMUPDATEDDT
FROM SERVICEQUESTIONRESPONSE WITH(NOLOCK)
WHERE systemupdateddt BETWEEN @P1 AND @P2",7h 46m 40s,30,307,0h 1m 31.21s,3
310,0200000048AD1A348FBFB16D093BBF3A11557E08AC68992D0000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)SELECT *fROM COMPENSATIONPAYABLE NOLOCK
where systemupdateddt between @P1 and @P2",3h 50m 53s,31,310,0h 0m 44.69s,1
0,02000000AAE893077B7E41CE0DBDD626B3E90725E1CCF6520000000000000000000000000000000000000000,"(@_msparam_0 nvarchar(?),@_msparam_1 nvarchar(?))SELECT
clmns.column_id AS [ID],
clmns.name AS [Name],
ISNULL(dc.Name, N?) AS [DefaultConstraintName],
clmns.is_nullable AS [Nullable],
CAST(ISNULL(cik.index_column_id, ?) AS bit) AS [InPrimaryKey],
clmns.is_identity AS [Identity],
clmns.is_computed AS [Computed]
FROM
sys.tables AS tbl
INNER JOIN sys.all_columns AS clmns ON clmns.object_id=tbl.object_id
LEFT OUTER JOIN sys.default_constraints as dc ON clmns.default_object_id = dc.object_id
LEFT OUTER JOIN sys.indexes AS ik ON ik.object_id = clmns.object_id and ?=ik.is_primary_key
LEFT OUTER JOIN sys.index_columns AS cik ON cik.index_id = ik.index_id and cik.column_id = clmns.column_id and cik.object_id = clmns.object_id and ? = cik.is_included_column
WHERE
(tbl.name=@_msparam_0 and SCHEMA_NAME(tbl.schema_id)=@_msparam_1)
ORDER BY
[ID] ASC",3h 20m 41s,9,0,'-,1
312,0200000075FAD323275768882E9FFDB681E03F2CF2C68BC70000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)select * from KPIRESULT nolock
where systemupdateddt between @P1 and @P2",3h 18m 0s,30,312,0h 0m 38.08s,1
306,020000002D1348115D46343A9E9411CDE565F9EEDD9832D60000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)SELECT
PREMIUMSEQ,
POLICYSEQ,
POLICYPRODUCTSEQ,
POLICYNUM,
SOURCE,
SUBTRANCHENO,
PRODUCTCD,
PRODUCTVER,
PRODUCTTYPECD,
PRODUCTSEQ,
ORIGINALPREMIUMGUID,
PREMIUMDUEDT,
POLICYYEARINFORCE,
POLICYMONTHINFORCEFROM,
POLICYMONTHINFORCETO,
DUETYPECD,
DUEAMT,
EXTRAPREMIUMAMT,
APPROPRIATIONTYPECD,
APPROPRIATIONDT,
APPROPRIATIONAMT,
PREMIUMSOURCE,
MOVEMENTSEQ,
PRODUCTIONEFFECTIVEDT,
REVERSALFL,
TRANSACTIONCD,
INTERFACEPROCESSFL,
VERSIONID,
GUID,
POLICYGUID,
REFERENCEGUID,
POLICYPRODUCTGUID,
PREMIUMSUBTYPECD,
COR,
FCPREMAMT,
EXCHANGERATE,
SYSTEMCREATEDDT,
SYSTEMUPDATEDDT
FROM PREMIUM WITH(NOLOCK)
where systemupdateddt between @P1 and @P2",3h 5m 20s,31,306,0h 0m 36.34s,1
0,02000000A7F9F505927EFB432387DDCFD4C5B198DB2D19CE0000000000000000000000000000000000000000,"SELECT
tr.name AS [Name],
tr.object_id AS [ID]
FROM
sys.triggers AS tr
WHERE
(tr.parent_class = ?)
ORDER BY
[Name] ASC",2h 30m 52s,6,0,'-,1
